Domain,Name,Title,Date,UserName,Review,Positive keywords,Negative keywords,Positive genre,Negative genre,Talk about other apps,E.g.,Remarks,isEdited,Rating,keyword,selected,Word count,Extracted words
Mental Health,insight-timer-meditation-app,Amazing!,1/29/2022 12:37,M5Nana,first time. such a stress relief. to be honest didn't realize stress was the root cause of my mood this morning!  thank you.,,,,,,,,FALSE,5,,,13,"first,time,stress,relief,honest,not,realize,stress,root,cause,mood,morning,thank"
Mental Health,nocd-effective-care-for-ocd,Compulsive app!!,6/27/2021 15:00,shelby76341,this app is a breeding ground for compulsions! you can connect with people who all have ocd but in reality it's just a place where individuals give reasssurance and compulse. the therapists may use erp but they don't catch the tiny nuances ocd revolves around. treating ocd is much more than just erp. go to an ocd therapist in your area that specializes in just ocd. you will get much better treatment.,,"app, breeding ground, compulsions, connect, people, ocd, reality, place, individuals, give, reassurance, compulse, not catch, tinu, nuances",,professional counseling,,,,FALSE,1,,,38,"app,breeding,ground,compulsions,connect,people,ocd,reality,place,individuals,give,reasssurance,compulse,therapists,may,use,erp,not,catch,tiny,nuances,ocd,revolves,around,treating,ocd,much,erp,go,ocd,therapist,area,specializes,ocd,get,much,better,treatment"
Mental Health,moodfit,Game changer,11/26/2021 14:04,1beggar,this app is fantastic. especially appreciate the mood tracker and the breathing exercises. i feel much more in control of things rather than things controlling me. thank you!,"app, fantastice, appreciate, mood tracker, breathing, exercises, control of things, ",,effective,,,,,TRUE,5,,,16,"app,fantastic,especially,appreciate,mood,tracker,breathing,exercises,feel,much,control,things,rather,things,controlling,thank"
Mental Health,betterhelp-online-counseling,"The therapists are amazing, the company less so",1/20/2021 20:41,mandinarie,"i started better help with a set monthly fee. after i'd found an amazing therapist for months and really got established, betterhelp increased my monthly cost by almost double... and didn't warn me. it came out of my account automatically. i then tried to contact the company multiple times and never received a response. my therapist has genuinely helped me so much, and i love the flexibility and all the resources of the app. but what they did is inexcusable.",,"found, amazing, therapist, months, established, increased, monthly cost, double, not warn, came out of account, automatically, tried, contact, company, multiple times, never,received response, therapist, genuinely, helped, love, flexibility, resources, what they did, inexcusable",professional therapy,"reliable, affordable, customer service",,,,FALSE,1,,,42,"started,better,help,set,monthly,fee,found,amazing,therapist,months,really,got,established,betterhelp,increased,monthly,cost,almost,double,...,not,warn,came,account,automatically,tried,contact,company,multiple,times,never,received,response,therapist,genuinely,helped,much,love,flexibility,resources,app,inexcusable"
Mental Health,happy-not-perfect-mind-gym,Gorgeous app for improving self-care,12/17/2020 14:01,tiffany.smith,"this is the only app review i've ever written, but i was feeling compelled to express my love for this app. i discovered it about 1.5 years ago when i was in the throes of depression following a painful separation. my self-care was so inconsistent. the daily happiness workouts have been such a blessing for me in terms of introducing a truly wonderful, well-rounded habit. i love that if i commit 10min to doing this in the morning, the app will nudge me through all the techniques associated will living more joyfully: deep breathing, checking in with my emotions, journaling, gratitude, goal setting, etc. it's all designed so elegantly and i can honestly say that i noticed a shift after doing this for several weeks; the gratitude practice alone was worth the time. i am also so impressed with the wonderful library of content and enjoy exploring - especially when i'm having an off day. great job happy not perfect team!","feeling, compelled, express, love, app, discovered, years ago, depression, painful separation, self-care, inconsistent, workouts, blessing, introducing, well-rounded habit, app, nudge, designed, elegantly, notice, shift, several weeks, gratitude practice, worth time, impressed, wonderful library, content, exploring",,"usable, effective",,,,,TRUE,5,,,76,"app,review,ever,written,feeling,compelled,express,love,app,discovered,1.5,years,ago,throes,depression,following,painful,separation,self-care,inconsistent,daily,happiness,workouts,blessing,terms,introducing,truly,wonderful,well-rounded,habit,love,commit,10min,morning,app,nudge,techniques,associated,living,joyfully,deep,breathing,checking,emotions,journaling,gratitude,goal,setting,etc,designed,elegantly,honestly,say,noticed,shift,several,weeks,gratitude,practice,alone,worth,time,also,impressed,wonderful,library,content,enjoy,exploring,especially,day,great,job,happy,perfect,team"
Mental Health,calm-sleep-meditation,Less mental chatter,8/17/2022 13:03,mums96,"i've been using tamara's guided meditations for about 2 months of daily use. the mental chatter in my head has decreased significantly. i am more attentive, and i am able to handle my thoughts and emotions much better. i recommend this app for anyone who wants to improve their mental health.",,"using, guided mediations, daily use, chatter, decreased significantly, more attentive, able to handle, thoughts, emotions, recommend, improve, mental health",,effective,,,,FALSE,5,,,27,"using,tamara,guided,meditations,2,months,daily,use,mental,chatter,head,decreased,significantly,attentive,able,handle,thoughts,emotions,much,better,recommend,app,anyone,wants,improve,mental,health"
Mental Health,insight-timer-meditation-app,Love Insight Timer!,11/29/2021 18:41,ARWdubs,"i love insight timer & have been using it for years. first for free & finally now i've had a subscription for 2 years! it's my favorite app on my phone! they did do a new update recently that has some features they need to change, the navigation system resets anytime you open a new track & there are a few other things i've noticed. but hopefully they will work those out soon & keep being as user friendly as they've always been!","love, using, years, free","subscriptions, years, favorite app, phone, new update, features, need to change, navigation system, resets, open new track, hopefull, workout, keep, user friendly",usable,reliable,,,,FALSE,4,,,36,"love,insight,timer,using,years,first,free,finally,subscription,2,years,favorite,app,phone,new,update,recently,features,need,change,navigation,system,resets,anytime,open,new,track,things,noticed,hopefully,work,soon,keep,user,friendly,always"
Mental Health,wysa-mental-health-support,Rate,12/20/2021 3:01,startfgr,this app actually made me think first when im about to speak or do something,,,,,,,,FALSE,5,,,8,"app,actually,made,think,first,im,speak,something"
Mental Health,simple-habit-sleep-meditation,Tidbits that become revelations,5/27/2022 10:20,Claudia Emanuele,stop waiting for someone to explain the perfect plan because that's not your path - lean in and keep moving with you hunches.,,,,,,,,FALSE,5,,,11,"stop,waiting,someone,explain,perfect,plan,path,lean,keep,moving,hunches"
Mental Health,calm-sleep-meditation,Sleep stories (will change rating if new stories are added),5/15/2022 7:43,RLB2MVP,i wish the app had more sleep stories than it does. i have been listened to all of them about 2-3 times already.,,,,,,,,FALSE,2,,,8,"wish,app,sleep,stories,listened,2-3,times,already"
Mental Health,meditation-studio,Most Practical Meditation App,3/31/2021 16:09,Todd D Vasquez,i have used quite a few meditation apps. this is the one i use the most because it is the most practical. i can search by length of time or category. i can choose a course. and i can choose my favorites. i also like the ability to pair sounds and music with each meditation. you won't be disappointed. the best meditation app is the one you use the most frequently. this one stays fresh and practical. highly recommend!,"used, few, meditation apps, practical, search, length of time, category, choose, course, favorites, like, ability to pair sounds and music, not be disappointed, stays, fresh, practical, highly recommend",,usable,,,,,FALSE,5,,,37,"used,quite,meditation,apps,one,use,practical,search,length,time,category,choose,course,choose,favorites,also,like,ability,pair,sounds,music,meditation,wo,not,disappointed,best,meditation,app,one,use,frequently,one,stays,fresh,practical,highly,recommend"
Mental Health,zen-guided-meditation-sleep,So worth it!!,3/31/2021 12:06,Zora Moon,i would never pay $30 for an app (yearly so not that bad) unless it was 100% worth it. this app is definitely worth it. so calming and so many options for various meditations. there's a meditation for literally any feeling you might be experiencing (or want to experience). 10 stars.,"definitely, worth, calming, many options, various, meditation",,effective,,,,,FALSE,5,,,27,"would,never,pay,30,app,yearly,bad,unless,100,worth,app,definitely,worth,calming,many,options,various,meditations,meditation,literally,feeling,might,experiencing,want,experience,10,stars"
Mental Health,headspace-meditation-sleep,Best Investment Ever for Sleep and Anxiety,1/20/2022 5:35,Rollerbladegirl,"i'm so glad i bought the year-long subscription to the headspace app. it's been a game changer for me and my sleep troubles that i've had for over ten years now. if i start listening to the sleep portion of the app about an hour before bed, then it usually means i'll have much better sleep that night. i fall asleep fairly easily in the evening, but my anxiety sometimes wakes me up in the middle of the night. on the evenings where i use headspace to calm my mind down with the radio app of relaxing sounds and/or the night time meditation, i usually am less likely to have anxiety in the middle of the night and am more likely to sleep through the night. sometimes i'll use the app in the middle of the night to calm down my mind. this is a very professionally produced app that you can tell is well researched. before i downloaded this app, i was desperate and was willing to try anything. so glad i did. that and also a weighted blanket. oh so relaxing.","bought, year-long subscription, game changer, sleep troubles, use, calm, mind down, professionally produced, well researched, was desparate, wiling to try, ",,"effective, professional counseling",,,,,FALSE,5,,,82,"glad,bought,year-long,subscription,headspace,app,game,changer,sleep,troubles,ten,years,start,listening,sleep,portion,app,hour,bed,usually,means,much,better,sleep,night,fall,asleep,fairly,easily,evening,anxiety,sometimes,wakes,middle,night,evenings,use,headspace,calm,mind,radio,app,relaxing,sounds,and/or,night,time,meditation,usually,less,likely,anxiety,middle,night,likely,sleep,night,sometimes,use,app,middle,night,calm,mind,professionally,produced,app,tell,well,researched,downloaded,app,desperate,willing,try,anything,glad,also,weighted,blanket,oh,relaxing"
Mental Health,regain-couples-therapy,The best.,9/30/2021 17:23,RuzyRoo,"who would of known i needed professional therapy. but now learning about myself and why i am who i am today, therapy is actually great thing. everyday i'm building myself back to a person with a purpose and a happy one. i have a lot of darkness inside me that needs to be heard to help me direct myself in the right path of happiness. with regain at my fingertips i can go in with my day with confidence, thank you.",,,,,,,,FALSE,5,,,34,"would,known,needed,professional,therapy,learning,today,therapy,actually,great,thing,everyday,building,back,person,purpose,happy,one,lot,darkness,inside,needs,heard,help,direct,right,path,happiness,regain,fingertips,go,day,confidence,thank"
Mental Health,calm-sleep-meditation,Playing sounds when app is closed,3/22/2021 19:23,!Nat,"i've had this app for a few years and i like the variety of sounds and the fact that they turn off after a few hours, which is why i would give in 4 starts. lately it's been going off in the middle of the day or over night randomly. the app is closed and my phone will say i'm playing nothing, super weird.",,"like, variety of sounds, fact, turn off, going off, middle of day, night randomly, app, closed, phone, say, playing method",,reliable,,,,FALSE,4,,,26,"app,years,like,variety,sounds,fact,turn,hours,would,give,4,starts,lately,going,middle,day,night,randomly,app,closed,phone,say,playing,nothing,super,weird"
Mental Health,ibreathe-relax-and-breathe,"Simple, calming",3/18/2021 20:41,Mbuzichoma,"calming interface, just a few simple options  this is my kind of app. it's worth the $1.99 they charge to remove ads, since it can be unsettling to come out of a deep meditative state and see an ad staring at you.","calming, interface, few, simple options, worth, charge, remove ads, unsettling, comeout, deep meditative state, ad, staring",,"usable, ",,,,,FALSE,5,,,20,"calming,interface,simple,options,kind,app,worth,1.99,charge,remove,ads,since,unsettling,come,deep,meditative,state,see,ad,staring"
Mental Health,whats-up-a-mental-health-app,Cons of the Forums,2/2/2021 3:23,LovinDePuppies <3 <3 <3 :D,"provides easy and immediate access to coping strategies and techniques that users can rely when experiencing symptoms of depression, anxiety, and stress. users are give information to understand their feelings and emotions, as well as ways they can break the cycle of feeling this way. however, forums should be better controlled. anyone can post anything, which can be hurtful to users, especially teens. although it is said that the app is for anyone that is 4 years old and older, children that do not know how to read will not be able to use it. individuals that are visually impaired will not be able to use it either.

an interesting point that was made by steinberg (2014) is that the pain that adolescence experience when they are social rejected closely resembles physical pain in neurological terms that taking acetaminophen, the active ingredient in tylenol, actually can help alleviate it (95). being socially rejected is a painful experience for teens that can definitely make things worse for those that are already struggling. based on the review criteria above and my own experience with what's up, i would rate this app a 3 out 5. what's up has many different coping strategies and techniques that users can access whenever they are in need of it. however, individuals can post whatever they want on the forums that can potentially harm users.","easy, immediate access, coping strategies, techniques, users, rely, experiencing, symptoms, depression, anxiety, stress, give, information, understand, feelings, emotions, ways, break, cycle, feeling","forums, better controlled, anyone, post, anything, hurtful, users, teens, children, not know, read, not able, use, individuals, visually impaired, not able to use, ","usable, accessible, effective",reliable,,,,FALSE,3,,,119,"provides,easy,immediate,access,coping,strategies,techniques,users,rely,experiencing,symptoms,depression,anxiety,stress,users,give,information,understand,feelings,emotions,well,ways,break,cycle,feeling,way,however,forums,better,controlled,anyone,post,anything,hurtful,users,especially,teens,although,said,app,anyone,4,years,old,older,children,know,read,able,use,individuals,visually,impaired,able,use,either,interesting,point,made,steinberg,2014,pain,adolescence,experience,social,rejected,closely,resembles,physical,pain,neurological,terms,taking,acetaminophen,active,ingredient,tylenol,actually,help,alleviate,95,socially,rejected,painful,experience,teens,definitely,make,things,worse,already,struggling,based,review,criteria,experience,would,rate,app,3,5.,many,different,coping,strategies,techniques,users,access,whenever,need,however,individuals,post,whatever,want,forums,potentially,harm,users"
Mental Health,whats-up-a-mental-health-app,Useful App,9/16/2021 18:28,Cannymac,"this app is rated a 4.5 out of 5. it has well developed sections that provide great pieces of information for the user. while it may appear simple and very basic, i like the idea of trying to keep the app free as much as possible. the password lock can really be helpful for users who use this for their daily tracking of mood, emotions, and habits. this app seems very ideal for adolescent because during this stage youth can experience everyday stressors such as  the daily issues individuals face, such as money problems, traffic difficulties, time pressure, poor sleeping patterns, homework, work conflicts, family coping styles, aggravations from parents, struggles in a relationship, a quarrel with a friend, neighborhood violence, school dangers, and dietary problems (laser, j.a. & nicotera, n.,2021). 

the app seemed very simple to use although there were some tabs for example stay in today it seems like this one needed more development. there is just a picture. it seems it may be intended for a moment when the user is possibly having an episode or hard time and needs some kind of anchor to keep them from spiraling. instead of having a person tell you that you're okay or you're safe it has an image that tries to play that role. it could use some work. it is very simple and not interactive at all. there could be some calming music playing, as before mentioned needing a sound aspect to the app. or just more quotes or images that can help someone feel validated or safe in the moment that they are having a hard time. 

another thing that they could implement is having a faster way of arriving to that tab versus going through two different buttons to get to it. it almost seems hidden. perhaps implementing an emergency button for when the user is going through a crisis to reach that page at a moment's notice. they can have it somewhere on the main menu with bright colors to make it stand out.

another critique i would add is changing the targeted age group. i would recommend that the target age group should be 13 years old and above due to the vocabulary level and content of some of the forum posts. i don't believe the younger users would be able to understand or even relate as they are probably not at the right age to do so. other than that the app does everything else as intended. it's definitely a useful tool for those that can utilize it. but i feel further working on the outline of the app and the visual aspect will help it become more intuitive and fun to use.","well developed sections, provide, pieces of information, appear, simple, basic, like, idea, keep, app free, password lock, helpful, use, daily tracking, mood, emotions, habits, idea, adolescent, simple to use, tabs, needed, more development, ",,"usable, professional counseling",,,,,FALSE,5,,,229,"app,rated,4.5,5.,well,developed,sections,provide,great,pieces,information,user,may,appear,simple,basic,like,idea,trying,keep,app,free,much,possible,password,lock,really,helpful,users,use,daily,tracking,mood,emotions,habits,app,seems,ideal,adolescent,stage,youth,experience,everyday,stressors,daily,issues,individuals,face,money,problems,traffic,difficulties,time,pressure,poor,sleeping,patterns,homework,work,conflicts,family,coping,styles,aggravations,parents,struggles,relationship,quarrel,friend,neighborhood,violence,school,dangers,dietary,problems,laser,j.a,nicotera,n.,2021,app,seemed,simple,use,although,tabs,example,stay,today,seems,like,one,needed,development,picture,seems,may,intended,moment,user,possibly,episode,hard,time,needs,kind,anchor,keep,spiraling,instead,person,tell,okay,safe,image,tries,play,role,could,use,work,simple,interactive,could,calming,music,playing,mentioned,needing,sound,aspect,app,quotes,images,help,someone,feel,validated,safe,moment,hard,time,another,thing,could,implement,faster,way,arriving,tab,versus,going,two,different,buttons,get,almost,seems,hidden,perhaps,implementing,emergency,button,user,going,crisis,reach,page,moment,notice,somewhere,main,menu,bright,colors,make,stand,another,critique,would,add,changing,targeted,age,group,would,recommend,target,age,group,13,years,old,due,vocabulary,level,content,forum,posts,not,believe,younger,users,would,able,understand,even,relate,probably,right,age,app,everything,else,intended,definitely,useful,tool,utilize,feel,working,outline,app,visual,aspect,help,become,intuitive,fun,use"
Mental Health,meditation-studio,"Some quirky interface, occasional issues, but good!",2/17/2021 23:16,Bryce Canada,"updated review: interface is a bit quirky. sometimes i'll start meditations and then wonder if it's supposed to be silence and it turns out i somehow cancelled it or it is not running. but most times it is okay and i very much enjoy the content.

old review: i like this app but there is a new bug that needs to be fixed. meditations are staying as new after being played. please fix this and i'll up my rating to 5 stars.",,"interface, bit quirky, start, meditations, wonder, supposed, be silence, turns out, cancelled, not running, most times, okay, enjoy, content,old review, like app, bug, fixed",,"usable, reliable",,,,FALSE,5,,,37,"updated,review,interface,bit,quirky,sometimes,start,meditations,wonder,supposed,silence,turns,somehow,cancelled,running,times,okay,much,enjoy,content,old,review,like,app,new,bug,needs,fixed,meditations,staying,new,played,please,fix,rating,5,stars"
