Domain,Date,Name,Title,Review,Positive keywords,Negative keywords,Positive genre,Negative genre,Eg,Talk abt other apps,Other apps reviews talk abt,Remarks,keywords,Rating,Word count,Extracted words (NLTK)
Investing,2/23/2022 20:08,rally-rd-invest-buy-sell,Investments in cool stuff,"you have always been able to invest it corporations, but now there are actually cool things to invest in!  i love being able to own a share in a ferrari or porsche. it can be tricky to pick out one that will make you money, but that is what investing is. everything is straightforward and the app is super easy to use. buying/ selling is a simple process as well as transferring money to and from your account.","love, able to own, tricky to pick, straightforward, easy to use, buying, selling, simple, transferring money",,usability,,,,,,"able to, easy to use, straightforward, simple process",5,33,"always,able,invest,corporations,actually,cool,things,invest,love,able,share,ferrari,porsche,tricky,pick,one,make,money,investing,everything,straightforward,app,super,easy,use,buying/,selling,simple,process,well,transferring,money,account"
Investing,3/1/2021 16:22,fidelity-investments,Lacking,does not allow lookup of certain securities like smaller companies charts are limited as well both could be improved,,"not allow, lookup, securities, charts, limited, improved",,reliability,,,,,"not allow, limited",3,12,"allow,lookup,certain,securities,like,smaller,companies,charts,limited,well,could,improved"
Investing,2/7/2021 19:15,uphold-buy-btc-eth-xrp,Would give 0 stars if I could,they told me that i was going to be allowed to withdraw my money after 4-5 days. once i was allowed to send it back to my bank account after it settled then they said the google authenticator isn't working. so i reset the authenticator. i wait a whole day for the follow up email just so i can reset my authenticator and take my funds out of the app. i wake up and i reset my authenticator today and when i go to withdraw my funds they say i need to wait 59 more days. this company is horrible and never put your money in there please!,,"not working, reset, wait, horrible",,reliability,,,,"reliability - possibly an issue with the app feature
but since they are not allowed to get access - seems like an accessibility issue",,1,48,"told,going,allowed,withdraw,money,4-5,days,allowed,send,back,bank,account,settled,said,google,authenticator,not,working,reset,authenticator,wait,whole,day,follow,email,reset,authenticator,take,funds,app,wake,reset,authenticator,today,go,withdraw,funds,say,need,wait,59,days,company,horrible,never,put,money,please"
Investing,10/12/2021 23:21,stash-invest-build-wealth,Terrible,i can barely get on some time,,,,,,,,,,1,3,"barely,get,time"
Investing,4/26/2022 0:59,td-ameritrade-mobile,Excellent,"all had been fine, except the transfer of money taking 5 days, cash, direct from td account to td account cost me money at the time.",,"transfer of money, taking days, cost money",,reliability,,,,"speed issue; could it be reliability concern? No. If the result ended with wrong transfer or mislead the user regarding delay, then could be considered reliability issue",taking days,5,16,"fine,except,transfer,money,taking,5,days,cash,direct,td,account,td,account,cost,money,time"
Investing,1/16/2021 13:23,acorns-invest-spare-change,Where my money goes,need my money it's gone y'all take my money but don't see it in the acorn app,,"need my money, gone, take my money, not see in app",,fradulent activity,,,,"not sure about the reason, it could just be a bug (performance) or user not being able to see it in the ui (accessibility, usability)",,1,10,"need,money,gone,y,take,money,not,see,acorn,app"
Investing,12/22/2020 9:50,td-ameritrade-mobile,This app is terrible,customer service is even worse,,"customer service, worse",,customer service,,,,,customer service,1,4,"customer,service,even,worse"
Investing,5/12/2022 23:10,titan-long-term-investing,Horrible investment strategies in a challenging market,i think they were decent when the market was good but they are down double digits and below averages in this challenging market.  their strategy or lack thereof show their lack of skill. stick with the bigger brokerages where more seasoned brokers understand the long term market abs can handle major dips,"decent, market, good","down double digits, below average, challenging market, lack of skill",,,,1,,,,1,28,"think,decent,market,good,double,digits,averages,challenging,market,strategy,lack,thereof,show,lack,skill,stick,bigger,brokerages,seasoned,brokers,understand,long,term,market,abs,handle,major,dips"
Investing,3/9/2021 14:51,td-ameritrade-mobile,User Friendly,"easy to use, navigate, & make money ","easy to use, navigate, make money",,usability,,,,,,"easy to use, navigate, make money",5,5,"easy,use,navigate,make,money"
Investing,4/20/2021 21:14,robinhood-investing-for-all,Why I Gave 4 Stars,"i do enjoy this app, this app has been nothing but great for me. i will continue utilizing this app. robinhood has done exactly what i want, hopefully it keeps up the pace. it earns 4 stars, as i'm looking for certain added features and they did not have them as of yet. good looks though!","enjoy, great, utilize, done exactly, keeps up, pace, good looks",,usability,,,,,,"continue utilizing, looks",4,26,"enjoy,app,app,nothing,great,continue,utilizing,app,robinhood,done,exactly,want,hopefully,keeps,pace,earns,4,stars,looking,certain,added,features,yet,good,looks,though"
Investing,4/23/2021 2:10,wealthsimple-invest,Not accepting Americans,not allowing u.s investors i'm shocked !!!!!,,"not allowing, shocked",,reliability,,,,,allow,1,4,"allowing,u.s,investors,shocked"
Investing,12/6/2021 6:46,bitmart-buy-bitcoin-crypto,Scammers,"i don't recommend this app to my worst enemy. very difficult to use, you will have a fight to withdraw your money, they are scammers, they will not reply to any of your emails, and they charge extra hidden fees. download at your own risk. all the 5 stars reviews are people who works for them or got paid from bitmart company.",,"not recommend, difficult to use, fight to withdraw, scammers, not reply, emails, charge extra, hidden fees, download, at risk",,"usability, reliability, fradulent activity, customer service",,,,,"difficult to use, scammers, no reply, hidden fees",1,28,"not,recommend,app,worst,enemy,difficult,use,fight,withdraw,money,scammers,reply,emails,charge,extra,hidden,fees,download,risk,5,stars,reviews,people,works,got,paid,bitmart,company"
Investing,2/16/2021 1:01,betterment-investing-saving,Betterment needs better App,"your ap is not user friendly. i am trying to find tax filing information on the app and i find nothing. plus, this is one of two apps out of the dozens that i use regularly that is not presentable in the landscape mode on my ipad.",,"not user friendly, trying to find, information, find nothing, not presentable, landscape mode",,usability,1,,,"trying to find - could be accessibility issue however the user already said it was not user friendly, so its more of a UI design issue than user being restricted to access","user friendly, not presentable",1,22,"ap,user,friendly,trying,find,tax,filing,information,app,find,nothing,plus,one,two,apps,dozens,use,regularly,presentable,landscape,mode,ipad"
Investing,8/25/2022 0:48,td-ameritrade-mobile,Hankolivo,really like the dashboard features!,,,,,,,,,,5,4,"really,like,dashboard,features"
Investing,4/9/2021 12:55,fidelity-spire-save-invest,Not good,takes way too many steps to even check your own stock positions. the home screen is wasted fluff i couldn't care less about and no way to customize like main fidelity app. no home screen widget like main fidelity app has so i can glance at my portfolio. push notification about inactivity i can't disable like i can in main fidelity app. it's a horrible experience when going from clunky main fidelity app to this that lacks those good features.,,"too many steps, check own stock, screen wasted, not care less, no way to customize, no widget, push notification, not disable, horrible experience, clunky, lacks good features",,"usability, reliability, customizability",,1,,,"customize, not disable",1,51,"takes,way,many,steps,even,check,stock,positions,home,screen,wasted,fluff,could,not,care,less,way,customize,like,main,fidelity,app,home,screen,widget,like,main,fidelity,app,glance,portfolio,push,notification,inactivity,ca,not,disable,like,main,fidelity,app,horrible,experience,going,clunky,main,fidelity,app,lacks,good,features"
Investing,1/28/2021 11:51,td-ameritrade-mobile,TRASH,they're in cahoots with predatory shorts. restricting buys on amc and gme. should be criminal!,,"predatory, restricting, criminal",,fradulent activity,,,,,"restrict, criminal, predatory",1,8,"cahoots,predatory,shorts,restricting,buys,amc,gme,criminal"
Investing,5/4/2021 18:03,robinhood-investing-for-all,Pleased,"robinhood is very user friendly. is both easy to use and understand. im pleased with my choice to invest, using robinhood. i have also invited friends and family to do the same.","user friendly, easy to use, understand, pleased, choice to invest, use, invite",,usability,,,,,,"user friendly, easy to use, understand",5,16,"robinhood,user,friendly,easy,use,understand,im,pleased,choice,invest,using,robinhood,also,invited,friends,family"
Investing,1/28/2021 15:40,robinhood-investing-for-all,Robinhood participating in market manipulation,"january 2021
gme stock becomes massively inflated causing immense loss from melvin capital short-selling hedgefund managers while mass profiting of retail individuals. citadel is forced to bail out melvin capital due to the immense losses. citadel also happens to own robinhood. robinhood then, with 0 recommendations from the sec or a governing body, only allows users to sell gme. this is market manipulation. forcing the hand of scared investors to flood the market with gme stocks driving down the price and allowing those hedge fund managers to finally be able to close their short sell contracts at smaller losses. 1 star for democracy.",,"only allow, sell, market manipulation, forcing, scared investors, democracy",,"fradulent activity, reliability",,,,"sounds more like trust, legal issue but since I have added hidden fees under reliability, I am adding this as well under reliability",market manipulation,1,68,"january,2021,gme,stock,becomes,massively,inflated,causing,immense,loss,melvin,capital,short-selling,hedgefund,managers,mass,profiting,retail,individuals,citadel,forced,bail,melvin,capital,due,immense,losses,citadel,also,happens,robinhood,robinhood,0,recommendations,sec,governing,body,allows,users,sell,gme,market,manipulation,forcing,hand,scared,investors,flood,market,gme,stocks,driving,price,allowing,hedge,fund,managers,finally,able,close,short,sell,contracts,smaller,losses,1,star,democracy"
Investing,1/26/2021 16:17,schwab-mobile,Top notch,"companies in any industry could learn from chuck. app is so simple but with everything you need for trading & research. if you need service, their call center & customer service is a standard all companies should strive for.","simple, trading & research, service, call center, customer service, standrad",,"usability, customer service",,,,,,"simple, customer service",5,20,"companies,industry,could,learn,chuck,app,simple,everything,need,trading,research,need,service,call,center,customer,service,standard,companies,strive"
Investing,2/9/2021 17:18,ibkr-mobile-invest-worldwide,fix tax optimizer,"every time you change something to default lifo and hit submit, it will refresh and set default back to fifo. extremely annoying. no way to change it, also it's not possible to do on a mac, as it wants you to install some outdated java stuff... and that won't work",,"default back, annoying, no way to change, install, outdated, not work",,"compatibility, reliability",,,,more like a bug,,1,29,"every,time,change,something,default,lifo,hit,submit,refresh,set,default,back,fifo,extremely,annoying,way,change,also,possible,mac,wants,install,outdated,java,stuff,...,wo,not,work"
Investing,4/7/2021 22:57,blockfi-buy-and-trade-crypto,Broken Email Server,broken.  needs email verification to create an account.  email is never received.,,"broken, email, never received",,reliability,,,,feature performance issue,,1,9,"broken,needs,email,verification,create,account,email,never,received"
Investing,4/22/2022 0:07,public-com-stocks-crypto,Extremely horrible app,"easy to use app with a good design but sadly there is a little to much misinformation, after making a deposit my money went into unsettled rewards all but $2 dollars which means no matter if i like the app or not it's stuck there for 90 days. i would not suggest public nor will i contemplate buying stocking through them again, most definitely going to look for better alternatives. customer service is worthless and the overall app makes me uncomfortable.",,"easy to use, good design, sadly, misinformation, stuck, customer service, worthless, uncomfortable",,"usability, reliability, customer service",,,,"(stuck) - app performance issue
(misinformation) - reliability issue misleading user","easy to use, design, misinformation, stuck, customer service",1,42,"easy,use,app,good,design,sadly,little,much,misinformation,making,deposit,money,went,unsettled,rewards,2,dollars,means,matter,like,app,stuck,90,days,would,suggest,public,contemplate,buying,stocking,definitely,going,look,better,alternatives,customer,service,worthless,overall,app,makes,uncomfortable"
Investing,7/26/2022 13:31,stash-invest-build-wealth,Cool,nice application and easy banking,"nice, application, easy, banking",,usability,,,,,,,5,4,"nice,application,easy,banking"
Investing,1/29/2021 13:06,robinhood-investing-for-all,A wall street wolf in a robinhood cloak ,"ironically decided to censor searches and suspend trading of stocks for political reasons, hurting their own customers. sadly, they have strayed far from their mission to democratize finance for all'. the user friendly nature of the app is great but not worth being with a company that betrays its users. just another hollow tech company masquerading under an admirable mission statement. ",user friendly,"ironically, decide, censor, suspend, trading, stocks, political reasons, hurting, customers, sadly, strayed, mission, democratize, finance, not worth, betrays, users, hollow, tech, company, masquerading, mission statement",usability,"fradulent activity, reliability",,,,,"user friendly, betray",1,34,"ironically,decided,censor,searches,suspend,trading,stocks,political,reasons,hurting,customers,sadly,strayed,far,mission,democratize,finance,user,friendly,nature,app,great,worth,company,betrays,users,another,hollow,tech,company,masquerading,admirable,mission,statement"
Investing,10/5/2021 14:53,fidelity-investments,Zelle andCash Accounts,is there any plans to integrate zelle into fidelity?,,,,,,,,,,5,4,"plans,integrate,zelle,fidelity"
Investing,2/18/2022 13:31,thinkorswim-trade-invest,Really good but platform,i am a new trader and i started to use think of swim about a month ago. the tutorials and education are great. the platform is not easy for a beginner but it is not hard either. after about a week i got the hang of it and have been making several trades per week,"use, month ago, tutorials and education, great","platform, not easy, beginner, not hard, either, get hang of it, making trades, per week",usability,usability,1,,,"(tutorials and edu) - more into learnability aspect of the users, but the platform is not easy either
- making trades could be profitability but indicates users access to trades rather than earning profit","tutorials, education",5,24,"new,trader,started,use,think,swim,month,ago,tutorials,education,great,platform,easy,beginner,hard,either,week,got,hang,making,several,trades,per,week"
Investing,8/26/2021 15:41,atom-finance-invest-smarter,Needs Improvements,am retired wall street portfolio manager of almost 55 years.  like a number of app features but have issues with (1) adding manual portfolio and (2) only being able to view app in portrait mode and not in landscape mode.  found it impossible to add manual portfolio.  was unwilling to use plaid service to link to actual brokerage accounts.  spent great deal of time trying to add manual portfolio and got no real help from developer except for promises of improvements to come.  using app on smaller-sized i-phone is difficult and i-pad portrait only viewing not compatible with attached keyboard screen with which i cannot rotate screen to portrait mode.,"like, number of, app features, view, portrait mode, ","issues, impossible to, manual portfolio, view not, landscape mode, unwilling to use, great deal of time, no real help, developer, promises of improvements, not compatible, not rotate",,"usability, reliability, customer service, compatibility",,,,"bug reported to the developers but received no help apparently
- bug appears to be related to app rotation functionality and the support varies across different mobile devices like ipad",help from developer,2,70,"retired,wall,street,portfolio,manager,almost,55,years,like,number,app,features,issues,1,adding,manual,portfolio,2,able,view,app,portrait,mode,landscape,mode,found,impossible,add,manual,portfolio,unwilling,use,plaid,service,link,actual,brokerage,accounts,spent,great,deal,time,trying,add,manual,portfolio,got,real,help,developer,except,promises,improvements,come,using,app,smaller-sized,i-phone,difficult,i-pad,portrait,viewing,compatible,attached,keyboard,screen,rotate,screen,portrait,mode"
Investing,5/6/2021 21:06,uphold-buy-btc-eth-xrp,Terrible customer service.,if you have a problem they won't get back to you within 48 hours. coinbase or biance is a 100% better option.,,"problem, not get back, hours",,customer service,1,1,,use of word 'they' indicating customer support,,1,13,"problem,wo,not,get,back,within,48,hours,coinbase,biance,100,better,option"
Investing,2/3/2021 15:46,robinhood-investing-for-all,Robbing hood,"i really did enjoy robinhood a lot until the last couple weeks , i just wanted to jump in a try making a little profit on gme and amc but they limited shares , just seems to me like maybe they aren't for the common people and only protecting the already filthy rich","enjoy, couple weeks","try, make profit, limit shares, not for common people, protect filthy rich",,"profitability,",,,,reliability because of limited accessibility; protect filthy rich people; ,limit shares,2,27,"really,enjoy,robinhood,lot,last,couple,weeks,wanted,jump,try,making,little,profit,gme,amc,limited,shares,seems,like,maybe,not,common,people,protecting,already,filthy,rich"
Investing,7/25/2022 12:33,ibkr-mobile-invest-worldwide,Individual/private investor,great app. intuitive. no crashes. rock solid.,"intuitive, no crash",,"usability, reliability",,,,,,"intuitive, no crash",5,6,"great,app,intuitive,crashes,rock,solid"
Investing,7/28/2022 11:24,ibkr-mobile-invest-worldwide,IB rocks,the best trading trading platform that is available to pros and amateurs alike.,"best, trading, platform, available, pros, amateurs, alike",,reliability,,,,,"if available, using accessibility instead of availability (merge)",available,5,8,"best,trading,trading,platform,available,pros,amateurs,alike"
Investing,7/12/2021 15:14,e-trade-invest-trade-save,Hard Lock dividend DRIP,"have tried for months and months to get one of my accounts off of drip. submit form and days later it jumps back in on its own. countless attempts to get resolved. every customer service person i have spoken with says oh. for some reason it's hard locked. i'll submit it and it will be fixed in a day or two. to this day and 20 attempts, it's the same response with no results.it definitely has me concerned that if they can't accomplish this simple task with my money, how safe keep my money possibly be there.",,"jumps back, countless attempts, resolve, customer service, hard locked, same resonse, no results, concerned, how safe my money",,"customer service, reliability",,,,"the user reported a bug in the app, which indicates the app's performance issue","attempts, resolve, results, not accomplish, customer service",1,48,"tried,months,months,get,one,accounts,drip,submit,form,days,later,jumps,back,countless,attempts,get,resolved,every,customer,service,person,spoken,says,oh,reason,hard,locked,submit,fixed,day,two,day,20,attempts,response,results.it,definitely,concerned,ca,not,accomplish,simple,task,money,safe,keep,money,possibly"
Investing,12/28/2021 22:52,gemini-buy-bitcoin-crypto,Good to have,hands down the best treading app i found so far,,,,,,,,,,5,6,"hands,best,treading,app,found,far"
Investing,6/12/2021 5:25,robinhood-investing-for-all,Robinhood is amazing,"i really like this app. the application is very easy to use. the stocks i want are available on this platform, and my ability to move funds is very easy. there are no hidden fees, there are occasional learning materials, and also constant updates via web resources like bloomberg. this is a great way to learn about investing, invest in the companies you want, and to keep track of stocks you may want to purchase in the future.","easy to use, stocks, available, no hidden fees, ability to move, occasional, learning materials, constant updates, web resources, way to learn, investing, keep track",,"usability, reliability, affordable",,,1,,,"easy to use, available, platform, ability, no hidden fees, learning, updates",5,41,"really,like,app,application,easy,use,stocks,want,available,platform,ability,move,funds,easy,hidden,fees,occasional,learning,materials,also,constant,updates,via,web,resources,like,bloomberg,great,way,learn,investing,invest,companies,want,keep,track,stocks,may,want,purchase,future"
Investing,8/24/2022 12:19,uphold-buy-btc-eth-xrp,Do not use Uphold!,"it is not nearly as user friendly as coinbase. uphold has had my account disabled for review for over a week. you cannot withdraw your funds without providing them with your driver's license. coinbase does not require that (thank god). at this point, it looks like uphold has stolen my money. please heed my warning and avoid this app like covid! it's a hard to use, money stealer!!! avoid this app at all costs! or you will pay (literally).",,"not nearly user friendly, account, disabled, review, over a week, not withdraw, funds, provide, driver's license, stolen, money, heed, warning, avoid, app, hard to use, money stealer",,"usability, fradulent activity, reliability",,1,,unable to withdraw because the account is disabled for review indicates accessibility issue.,"user friendly, disable, stolen",1,41,"nearly,user,friendly,coinbase,uphold,account,disabled,review,week,withdraw,funds,without,providing,driver,license,coinbase,require,thank,god,point,looks,like,uphold,stolen,money,please,heed,warning,avoid,app,like,covid,hard,use,money,stealer,avoid,app,costs,pay,literally"
Investing,9/20/2021 9:14,stash-invest-build-wealth,Very solid app,"one thing that i appreciate about this app is how user friendly it is. i'm super new to investing and this app simplifies most everything so it's easy to just jump into it.
however there are a couple of things that i think stash could/should add to make it absolutely must use.
1) portfolio dividend tracker. for those looking to build a dividend portfolio this feels like an auto-include. as one updates their portfolio the ability to see exactly how much in dividends they stand to receive would make it easier to decide how much to buy from a stock. and while i like that each stock conveys info on its previous dividend payment, it doesn't include info on its next expected payment, which i find to be annoying.
2) update stash card: unfortunately i find the stash debit card features to be kind of not worth getting it. i made a $12 purchase with the card and got a penny of stock buybacks. not at all worth it.
3) fail safe needs updating: occasionally i'll get a buy fail message on the basis of insufficient funds when i know that is untrue as i constantly check my available funds.

while i feel like these features would make the system all the more user friendly, as it is i'm still very satisfied with how my investing journey has gone with stash thus far","appreciate, user frineldy, simplifies, easy to jump","debit card features, not worth, fail safe, needs updating, fail message, insufficient funds, untrue, constantly check, available funds",usability,reliability,,,,untrue buy fail message could be reliability however its not making user abandon the app. So using accuracy based on 'untrue' keyword,"user friendly, simplifies, untrue",4,125,"one,thing,appreciate,app,user,friendly,super,new,investing,app,simplifies,everything,easy,jump,however,couple,things,think,stash,could/should,add,make,absolutely,must,use,1,portfolio,dividend,tracker,looking,build,dividend,portfolio,feels,like,auto-include,one,updates,portfolio,ability,see,exactly,much,dividends,stand,receive,would,make,easier,decide,much,buy,stock,like,stock,conveys,info,previous,dividend,payment,not,include,info,next,expected,payment,find,annoying,2,update,stash,card,unfortunately,find,stash,debit,card,features,kind,worth,getting,made,12,purchase,card,got,penny,stock,buybacks,worth,3,fail,safe,needs,updating,occasionally,get,buy,fail,message,basis,insufficient,funds,know,untrue,constantly,check,available,funds,feel,like,features,would,make,system,user,friendly,still,satisfied,investing,journey,gone,stash,thus,far"
Investing,7/7/2022 21:28,td-ameritrade-mobile,Great Way to Trade. Great Place to IRA old 401ks.,"the td ameritrade app gives you all the information you need to track your assets, learn about potential investments, and trade. i am not a frequent trader, more of a buy-and-hold kind of guy. but everything about the app is so intuitive that i can do research about an investment theory i have and immediately execute on that idea. i like this app very much.","give, information, track, assets, learn, investments, trade, not frequent trader, intuitive, research, investment theory, immediately, execute",,"usability, reliability",,,,,performance because of immediate execution,"information, learn, execute",5,29,"td,ameritrade,app,gives,information,need,track,assets,learn,potential,investments,trade,frequent,trader,buy-and-hold,kind,guy,everything,app,intuitive,research,investment,theory,immediately,execute,idea,like,app,much"
Investing,10/31/2021 3:21,stash-invest-build-wealth,Stash has been great,i'm up a total of 19% as of today and it's a ton of fun!,,,,,,,,,,5,5,"total,19,today,ton,fun"
Investing,2/13/2021 15:42,webull-investing-trading,Never can get rid of this thing,they don't allow you to delete your account. can you believe that? strongly suggest you never try this dam thing.,,"not allow, delete, account, strongly suggest, never try",,reliability,,,,,not allow,1,11,"not,allow,delete,account,believe,strongly,suggest,never,try,dam,thing"
Investing,6/10/2021 21:15,fidelity-spire-save-invest,Not the app you are looking for,"fidelity has many apps. if you're like me, this is not the app for you. the old investment app now has a trading beta. download that and flip beta on and you're good to go. i don't know who this app is for but not for people who want to actively trade. deleting this app and sticking with the investments beta.",,,,,,1,,,,4,27,"fidelity,many,apps,like,app,old,investment,app,trading,beta,download,flip,beta,good,go,not,know,app,people,want,actively,trade,deleting,app,sticking,investments,beta"
